Var1,foldSize,accuracy,sensitivity,specificity
Linear SVM Model,5,0.822281167108753,0.879310344827586,0.632183908045977
KNN Classifier k-5,10,0.792553191489362,0.862068965517241,0.558139534883721
KNN Classifier k-7,10,0.792553191489362,0.855172413793103,0.581395348837209
Decision Tree,10,0.792553191489362,0.875862068965517,0.511627906976744
Linear SVM Model,10,0.781914893617021,0.882758620689655,0.441860465116279
Linear SVM Model,10,0.803191489361702,0.889655172413793,0.511627906976744
KNN Classifier k-5,5,0.639257294429708,0.593939393939394,0.674528301886792
KNN Classifier k-7,5,0.660477453580902,0.618181818181818,0.693396226415094
Decision Tree,5,0.671087533156499,0.636363636363636,0.69811320754717
Linear SVM Model,5,0.655172413793103,0.575757575757576,0.716981132075472
Linear SVM Model,5,0.705570291777188,0.666666666666667,0.735849056603774
KNN Classifier k-5,10,0.675531914893617,0.658536585365854,0.688679245283019
KNN Classifier k-7,10,0.675531914893617,0.634146341463415,0.707547169811321
Decision Tree,10,0.675531914893617,0.609756097560976,0.726415094339623
Linear SVM Model,10,0.611702127659574,0.536585365853659,0.669811320754717
Linear SVM Model,10,0.702127659574468,0.634146341463415,0.754716981132076
KNN Classifier k-5,5,0.938992042440318,0.988826815642458,0
KNN Classifier k-7,5,0.946949602122016,0.994413407821229,0.0526315789473684
Decision Tree,5,0.949602122015915,1,0
Linear SVM Model,5,0.925729442970822,0.96927374301676,0.105263157894737
Linear SVM Model,5,0.949602122015915,1,0
KNN Classifier k-5,10,0.946808510638298,0.994413407821229,0
KNN Classifier k-7,10,0.957446808510638,1,0.111111111111111
Decision Tree,10,0.952127659574468,1,0
Linear SVM Model,10,0.936170212765957,0.977653631284916,0.111111111111111
Linear SVM Model,10,0.952127659574468,1,0
